bestsellers_date,list_name,rank,title
2010-10-10,Hardcover Advice,10,CESAR'S WAY
2010-11-07,Hardcover Advice,4,CAKE BOSS
2010-11-21,Hardcover Advice,8,"A Circle of Sisters: Alice Kipling, Georgiana Burne Jones, Agnes Poynter, and Louisa Baldwin"
2010-12-05,Picture Books,10,Art Held Hostage: The Battle over the Barnes Collection
2010-12-19,Manga,10,Inventing Eastern Europe: The Map of Civilization on the Mind of the Enlightenment
2011-01-30,Paperback Nonfiction,19,"Nutcracker: Money, Madness, Murder : A Family Album (G K Hall Large Print Book Series)"
2011-02-26,Hardcover Advice,4,Disciplined Mind: What All Students Should Understand
2011-03-12,Combined Print Nonfiction,28,In the City of Fear: A Novel (Norton Paperback Fiction)
2011-03-26,Paperback Nonfiction,35,IN DEFENSE OF FOOD
2011-03-26,Hardcover Graphic Books,9,Bugatti Queen: In Search of a French Racing Legend
2011-04-09,Mass Market Paperback,5,INDULGENCE IN DEATH
2011-04-16,Hardcover Advice,7,"My Father's Gun: One Family, Three Badges, One Hundred Years in the NYPD"
2011-05-28,Paperback Graphic Books,2,BATGIRL: THE FLOOD
2011-06-11,Series Books,7,Julie's Summer
2011-06-11,Combined Print Nonfiction,31,LICENSE TO PAWN
2011-07-09,Hardcover Graphic Books,10,BLACKEST NIGHT: TALES OF THE CORPS
2011-08-20,E-Book Nonfiction,35,COUNTERSTRIKE
2011-08-27,Combined Print and E-Book Fiction,29,girls: A Paean
2011-09-03,Hardcover Fiction,18,Northwest Corner: A Novel
2011-09-03,Hardcover Nonfiction,30,Of Tigers and Men: Entering the Age of Extinction
2011-09-17,Paperback Graphic Books,9,JERICHO: SEASON 3
2011-09-17,Manga,7,"ONE PIECE, VOL. 58"
2011-09-17,Mass Market Paperback,24,Entrances and Exits: A Life in and Out of the Theatre
2011-09-17,Trade Fiction Paperback,20,A Sense of the Mysterious: Science and the Human Spirit
2011-09-24,Combined Print and E-Book Fiction,7,LISTEN TO YOUR HEART
2011-10-01,Hardcover Advice,8,Joe & Marilyn: A Memory of Love
2011-10-01,Paperback Graphic Books,3,Alpha to Omega: The Life & Times of the Greek Alphabet
2011-10-01,Hardcover Graphic Books,6,DAYBREAK
2011-10-08,Hardcover Graphic Books,4,"KAMANDI: THE LAST BOY ON EARTH, OMNIBUS VOL. 1"
2011-10-08,E-Book Fiction,26,BLINDMAN'S BLUFF
2011-10-15,Combined Print and E-Book Nonfiction,26,Memoirs
2011-10-29,Hardcover Nonfiction,30,News of the Spirit
2011-11-12,Paperback Nonfiction,21,"Oona, Living in the Shadows: A Biography of Oona O'Neill Chaplin"
2011-11-26,Mass Market Paperback,33,LORD OF THE ABYSS AND DESERT WARRIOR
2011-12-03,E-Book Fiction,34,Dead Elvis: A Chronicle of a Cultural Obsession
2011-12-10,Mass Market Paperback,2,LAWMAN
2011-12-17,Hardcover Nonfiction,21,LIFE AFTER DEATH
2011-12-24,Hardcover Fiction,21,COVERT WARRIORS
2011-12-24,Paperback Nonfiction,27,HITCH-22
2012-01-07,E-Book Nonfiction,35,A Slow Burning
2012-01-14,Paperback Nonfiction,22,Kazan on Film: The Master Director Discusses His Films--Interviews With Elia Kazan (Newmarket Insider Filmbooks)
2012-01-21,Hardcover Graphic Books,4,Fear Nothing
2012-02-04,Trade Fiction Paperback,22,Changing Light (Vintage)
2012-02-11,Paperback Graphic Books,3,Irresistible Empire: America's Advance through Twentieth-Century Europe
2012-02-11,E-Book Fiction,32,City of Fortune: How Venice Ruled the Seas
2012-02-18,Mass Market Paperback,27,MASSACRE AT POWER RIVER
2012-03-03,Paperback Nonfiction,34,Cleopatra (Time-Traveling Twins)
2012-03-03,E-Book Fiction,23,A RULE AGAINST MURDER
2012-03-10,Mass Market Paperback,28,McX: A Romance of the Dour
2012-03-17,Hardcover Fiction,30,"HUSH NOW, DON'T YOU CRY"
2012-03-17,Combined Print Nonfiction,20,ABYSS
2012-03-24,E-Book Fiction,26,Celestial Harmonies: A Novel
2012-03-24,Hardcover Nonfiction,18,"FULLMETAL ALCHEMIST, VOL. 22"
2012-04-07,Hardcover Fiction,10,"Beasts of Eden: Walking Whales, Dawn Horses, and Other Enigmas of Mammal Evolution"
2012-04-14,Combined Print and E-Book Nonfiction,10,LIFT
2012-04-14,Hardcover Nonfiction,17,"NO, THEY CAN'T"
2012-04-21,E-Book Fiction,17,"A Pretext for War: 9/11, Iraq, and the  Abuse of America's Intelligence Agencies"
2012-05-05,Mass Market Paperback,32,MRS. JEFFRIES DEFENDS HER OWN
2012-05-12,Mass Market Paperback,34,ESCAPE
2012-05-26,Hardcover Fiction,20,24 Hours in Cyberspace:  Painting on the Walls of the Digital Cave Photographed on One Day by 150 of the World's Leading
2012-06-30,Trade Fiction Paperback,10,Major Washington
2012-07-21,Combined Print and E-Book Fiction,31,Can't Stop Won't Stop: A History of the Hip-Hop Generation
2012-07-28,Manga,7,"DURARARA!!, VOL. 3"
2012-08-04,Hardcover Fiction,32,Earthly Powers
2012-08-11,Hardcover Fiction,28,IN THE SHADOW OF THE BANYAN
2012-08-11,Manga,4,"BLEACH, VOL. 45"
2012-08-25,E-Book Fiction,26,ALL SHE EVER WANTED
2012-09-01,Hardcover Fiction,13,James Herriot: The Life of a Country Vet
2012-09-01,Mass Market Paperback,18,BLUE-EYED DEVIL
2012-09-01,E-Book Fiction,30,A LADY NEVER SURRENDERS
2012-09-08,Paperback Graphic Books,8,Nisa: The Life and Words of a !Kung Woman
2012-09-08,Hardcover Fiction,19,BLACK LIST
2012-09-08,Mass Market Paperback,30,HAPPY EVER AFTER
2012-09-15,Combined Print and E-Book Fiction,18,BECAUSE YOU ARE MINE PART VII
2012-09-22,E-Book Nonfiction,35,AFTER AMERICA
2012-09-22,Combined Print Nonfiction,30,"D. GRAY-MAN, VOL. 20"
2012-09-22,Picture Books,5,Goldman Sachs : The Culture of Success
2012-09-29,Manga,10,Jack Holmes and His Friend: A Novel
2012-09-29,Combined Print Nonfiction,13,MORTALITY
2012-09-29,Manga,6,"HIGURASHI WHEN THEY CRY, MASSACRE ARC, VOL. 1"
2012-10-06,Picture Books,4,OLIVIA GOES TO VENICE
2012-10-06,Hardcover Fiction,35,BLAZE OF MEMORY
2012-10-06,Mass Market Paperback,17,Gilgamesh: A Novel
2012-10-20,E-Book Fiction,25,On Fiji Islands (Travel Library)
2012-10-20,Combined Print Nonfiction,30,"HELP ME, MR. MUTT!"
2012-10-27,Manga,8,"ALICE IN THE COUNTRY OF HEARTS, VOL. 1"
2012-11-03,Paperback Advice,11,Municipal bondage: one man's anxiety-producing adventures in
2012-11-10,Chapter Books,2,Links
2012-11-10,Paperback Graphic Books,4,Marbot: A biography
2012-11-10,Mass Market Paperback,27,NIGHTSHADE ON ELM STREET
2012-11-17,Hardcover Fiction,29,Anno's Britain
2012-11-17,Combined Print and E-Book Fiction,32,Failure Is Not an Option: Mission Control From Mercury to Apollo 13 and Beyond
2012-11-17,Hardcover Nonfiction,17,Generations: A Century of Women Speak About Their Lives
2012-11-24,Series Books,9,"KARAKURIDOJI ULTIMO, VOL. 1"
2012-12-01,Mass Market Paperback,19,HOTHOUSE ORCHID
2012-12-08,Hardcover Nonfiction,31,Living with Jazz: A reader edited by Sheldon Meyer
2012-12-22,Mass Market Paperback,22,AFTER TEX
2012-12-29,E-Book Fiction,32,NAAMAH'S KISS
2013-01-05,Combined Print Fiction,12,ODD INTERLUDE #2
2013-01-12,Paperback Nonfiction,32,Moral Tales
2013-01-12,Picture Books,2,"Chuck Jones: A Flurry of Drawings, Portraits of American Genius"
2013-01-19,Hardcover Graphic Books,5,ABSOLUTE BATMAN & ROBIN: BATMAN REBORN
2013-01-19,Hardcover Fiction,13,"Collected Poems, 1948-1984"
2013-01-26,Hardcover Nonfiction,24,"BEND, NOT BREAK"
2013-02-02,Combined Print Nonfiction,23,Namedropping: Mostly Literary Memoirs
2013-02-02,E-Book Nonfiction,32,FRENCH FRIED
2013-02-09,E-Book Fiction,28,CAUGHT!
2013-02-09,Paperback Advice,1,From Paralysis to Fatigue: A History of Psychosomatic Illness in the Modern Era
2013-02-16,Series Books,2,Bloomsbury and France: Art and Friends
2013-02-23,Hardcover Fiction,28,Nothing Serious
2013-03-02,Mass Market Paperback,31,Look at the Moon
2013-03-02,Paperback Nonfiction,25,AN IRISH COUNTRY CHRISTMAS
2013-03-02,Combined Print Nonfiction,26,Ari: The Life and Times of Aristotle Socrates Onassis
2013-03-02,Hardcover Fiction,14,BAD BOY
2013-03-02,Mass Market Paperback,20,Force Majeure
2013-03-02,Manga,7,Haig : The General's Progress
2013-03-16,Hardcover Graphic Books,4,"BATMAN: NO MAN'S LAND, VOL. 1"
2013-03-16,Hardcover Fiction,7,Bloodletting & Miraculous Cures: Stories
2013-03-23,Mass Market Paperback,35,KILL ALEX CROSS
2013-03-23,Combined Print and E-Book Nonfiction,34,Berji Kristin: Tales from the Garbage Hills
2013-03-23,Combined Print Fiction,24,Hamilton Fish: Memoir of an American Patriot
2013-03-30,Combined Print and E-Book Fiction,1,Lovers and Cohorts
2013-03-30,Hardcover Fiction,21,Angels All Over Town
2013-03-30,Paperback Business Books,5,Boomerang: Clinton's Health Security Effort and the Turn Against Government in U.S. Politics
2013-03-30,Hardcover Graphic Books,2,"CHEW OMNIVORE EDITION, VOLUME 3"
2013-03-30,Hardcover Nonfiction,33,Drinking with the Cook
2013-04-06,Combined Print and E-Book Nonfiction,17,MONEY CLASS
2013-04-06,Hardcover Nonfiction,30,Baseball before We Knew It: A Search for the Roots of the Game
2013-04-06,Combined Print and E-Book Nonfiction,20,CLEAN
2013-04-06,E-Book Nonfiction,31,GAME OVER
2013-04-13,Combined Print Nonfiction,11,MY WORD IS MY BOND
2013-04-13,Combined Print and E-Book Fiction,9,FALLING INTO YOU
2013-04-20,Advice How-To and Miscellaneous,4,Man Camp: A Novel
2013-04-27,Combined Print Nonfiction,29,Louis Sullivan: His Life and Work
2013-04-27,Manga,3,NEGIMA! 22
2013-04-27,Hardcover Fiction,28,DECADENCE
2013-04-27,Paperback Graphic Books,5,Diamond Dust: Stories
2013-04-27,E-Book Fiction,5,Flying Home: and Other Stories
2013-04-27,Hardcover Fiction,23,HONOR THY THUG
2013-05-04,Mass Market Paperback,25,"Heading South, Looking North: A Bilingual Journey"
2013-05-11,Advice How-To and Miscellaneous,10,MIND OVER MEDICINE
2013-05-11,Manga,1,"NARUTO, VOL. 61"
2013-05-11,Manga,8,"DENGEKI DAISY, VOL. 4"
2013-05-18,Hardcover Graphic Books,1,"BATMAN INCORPORATED, VOL. 1"
2013-06-08,Childrens Middle Grade,1,George Washington's False Teeth: An Unconventional Guide to the Eighteenth Century
2013-06-22,E-Book Fiction,20,"Fatal North: Adventure and Survival Aboard USS Polaris, the First U. S. Expedition to the North Pole"
2013-06-29,E-Book Fiction,2,DAMAGED 2
2013-07-06,E-Book Nonfiction,15,AVATAR
2013-07-13,E-Book Fiction,6,LOSING HOPE
2013-07-13,Advice How-To and Miscellaneous,17,Choosing Naia: A Family's Journey
2013-07-20,Hardcover Nonfiction,25,MY MOMMY HUNG THE MOON
2013-07-20,Manga,10,"DEATH NOTE BLACK, VOL. 1"
2013-07-27,Hardcover Graphic Books,8,"NEW AVENGERS, VOL. 1"
2013-07-27,Hardcover Nonfiction,5,BREAKTHROUGH
2013-07-27,E-Book Fiction,22,BRIDA
2013-08-10,E-Book Nonfiction,3,Merrick (Vampire/Witches Chronicles)
2013-08-10,Combined Print and E-Book Fiction,21,NOWHERE TO RUN
2013-08-10,Manga,2,"BAKUMAN, VOL. 3"
2013-08-10,Combined Print and E-Book Nonfiction,8,Colonel Cody and the Flying Cathedral: The Adventures of the Cowboy Who Conquered the Sky
2013-08-10,Advice How-To and Miscellaneous,6,Early Bird: A Memoir of Premature Retirement
2013-08-17,E-Book Fiction,19,INTO THE DREAMING
2013-08-17,Hardcover Graphic Books,4,LOST DECEMBER
2013-08-24,Hardcover Graphic Books,9,In the Empire of Genghis Khan: A Journey Among Nomads
2013-08-24,E-Book Nonfiction,17,MANUSCRIPT FOUND IN ACCRA
2013-08-31,Young Adult,5,CROWN OF MIDNIGHT
2013-08-31,E-Book Fiction,9,Exile on Main Street: A Season in Hell with the Rolling Stones
2013-08-31,Combined Print and E-Book Nonfiction,12,A THREE DOG LIFE
2013-09-07,Combined Print and E-Book Nonfiction,13,Keywords: A Vocabulary of Culture and Society
2013-09-07,Mass Market Paperback,18,MURDER OF A STACKED LIBRARIAN
2013-09-07,Picture Books,2,FROM ASHES
2013-09-14,Hardcover Nonfiction,23,KNOCKOUT
2013-09-14,Advice How-To and Miscellaneous,3,Masters of Atlantis
2013-09-14,Hardcover Graphic Books,2,Ambition: The Secret Passion
2013-09-14,Hardcover Nonfiction,16,"Break Every Rule: Essays on Language, Longing, and Moments of Desire"
2013-09-14,E-Book Nonfiction,3,A Jew In America: My Life and A People's Struggle for Identity
2013-09-28,Manga,7,"ARE YOU ALICE, VOL. 2"
2013-10-05,Hardcover Graphic Books,1,"JUSTICE LEAGUE, VOL. 3"
2013-10-05,Mass Market Paperback,3,"Madam President: The Extraordinary, True (and Evolving) Story of Women in Politics"
2013-10-05,Combined Print and E-Book Nonfiction,22,CASTLE: A CALM BEFORE STORM
2013-10-19,E-Book Fiction,4,If a Lion Could Talk: Animal Intelligence and the Evolution of Consciousness
2013-10-26,Combined Print and E-Book Nonfiction,7,40 Watts from Nowhere: A Journey into Pirate Radio
2013-10-26,Business Books,3,Extra Innings: A Memoir
2013-11-02,Hardcover Nonfiction,17,An Atomic Romance: A Novel
2013-11-02,Picture Books,9,Battle Cries and Lullabies: Women in War from Prehistory to the Present
2013-11-02,Hardcover Graphic Books,8,GREEN LANTERN: AGENT ORANGE
2013-11-09,Manga,5,"MIDNIGHT SECRETARY, VOL. 2"
2013-11-09,Mass Market Paperback,19,A BOOK OF SECRETS
2013-11-09,Picture Books,2,CINDERS
2013-11-09,Combined Print and E-Book Fiction,21,Comanche Moon : A Novel
2013-11-16,Hardcover Graphic Books,10,"JANE, THE FOX, AND ME"
2013-11-16,Mass Market Paperback,24,Cold Snap: Stories
2013-11-16,E-Book Nonfiction,19,From Voting to Violence: Democratization and Nationalist Conflict (The Norton Series in World Politics)
2013-12-07,Manga,9,May You Live in Interesting Times (Iowa Short Fiction Award)
2013-12-07,Hardcover Fiction,18,Daniel Boone: The Life and Legend of an American Pioneer (An Owl Book)
2014-01-11,Mass Market Paperback,8,Monumenta Britannica or A Miscellany of British Antiquities Parts One and Two
2014-01-11,Advice How-To and Miscellaneous,16,On The Eve Of Uncertain Tomorrows
2014-01-11,Mass Market Paperback,14,Home on the Range: A Culinary History of the American West
2014-01-25,Childrens Middle Grade,4,Leo@fergusrules.com
2014-02-01,Advice How-To and Miscellaneous,16,LEADING FROM BEHIND
2014-02-01,Hardcover Fiction,22,LOCKDOWN
2014-02-01,Hardcover Fiction,8,An Orphan in History: Retrieving a Jewish Legacy
2014-02-01,E-Book Nonfiction,25,DANCE OF THE REPTILES
2014-02-01,Mass Market Paperback,22,GOING TWICE
2014-02-08,Childrens Middle Grade,7,JUST JAKE
2014-02-08,Hardcover Graphic Books,4,Ant Farm: And Other Desperate Situations
2014-02-08,Combined Print and E-Book Fiction,5,Beach Music: A Novel
2014-03-01,Hardcover Graphic Books,10,BEAUTIFUL DARKNESS
2014-03-01,E-Book Nonfiction,12,Dwellers in the Land: The Bioregional Vision
2014-03-08,E-Book Fiction,24,IMPERIAL WOMAN
2014-03-15,Picture Books,4,Journey to an 800 Number
2014-03-15,Hardcover Fiction,19,Night Picnic: Poems
2014-03-22,Hardcover Graphic Books,1,"K-ON!, VOL. 2"
2014-03-22,Combined Print and E-Book Fiction,24,Black Box: Kal 007 and the Superpowers
2014-03-22,Combined Print and E-Book Fiction,17,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem
2014-03-29,E-Book Nonfiction,13,CALL TO ACTION
2014-03-29,Combined Print and E-Book Fiction,18,DASHING THROUGH THE SNOW
2014-04-05,Series Books,10,KINGS OF THE NORTH
2014-04-05,Mass Market Paperback,19,BEST KEPT SECRETS
2014-04-05,Hardcover Nonfiction,2,Don't Let's Go to the Dogs Tonight: An African Childhood
2014-04-12,Combined Print and E-Book Fiction,21,Night Duty
2014-04-12,Hardcover Nonfiction,4,Bigfoot Dreams (Contemporary American Fiction)
2014-04-19,Combined Print and E-Book Nonfiction,18,LOVE LIFE
2014-04-19,E-Book Nonfiction,17,CONFIDENCE CODE
2014-04-19,Trade Fiction Paperback,19,FOUR FRIENDS
2014-04-26,Sports,5,BEYOND TRAINING
2014-04-26,Hardcover Fiction,12,Carp Fishing on Valium and Other Tales of the Stranger Road Traveled
2014-04-26,Manga,9,Devils in the Sugar Shop
2014-05-03,Combined Print and E-Book Fiction,8,LIVE WIRE
2014-05-03,Mass Market Paperback,16,DREAMS OF LILACS
2014-05-03,Mass Market Paperback,9,FIRST SIGHT
2014-05-10,Mass Market Paperback,23,LAST LICKS
2014-05-10,Combined Print and E-Book Nonfiction,4,Balls
2014-05-10,Hardcover Fiction,11,DELICIOUS!
2014-05-17,Hardcover Nonfiction,5,NO REGRETS
2014-05-17,Childrens Middle Grade,12,DEEP BLUE
2014-05-17,Manga,2,"FAIRY TAIL, VOL. 38"
2014-05-24,Hardcover Graphic Books,5,Judge Savage: A Novel
2014-05-24,Hardcover Graphic Books,6,"All-Night Party: The Women of Bohemian Greenwich Village and Harlem, 1913-1930"
2014-05-31,Mass Market Paperback,1,AIR BOUND
2014-05-31,Mass Market Paperback,21,On a Grander Scale: The Outstanding Life of Sir Christopher Wren
2014-06-07,Combined Print and E-Book Fiction,15,China: Alive in the Bitter Sea
2014-06-07,Combined Print and E-Book Fiction,18,FACEOFF
2014-06-14,Picture Books,10,MIGHTY DADS
2014-06-14,E-Book Fiction,21,Ghostfires: A Novel
2014-06-21,Combined Print and E-Book Nonfiction,23,Learning to Dance and Other Stories (MVP)
2014-06-21,E-Book Nonfiction,14,Metropolis: A Novel
2014-06-21,Hardcover Fiction,23,"NAOKI URASAWA'S 20TH CENTURY BOYS, VOL. 22"
2014-06-21,E-Book Nonfiction,17,APPETITE FOR AMERICA
2014-06-28,Hardcover Fiction,24,NINE RULES TO BREAK WHEN ROMANCING A RAKE
2014-06-28,E-Book Nonfiction,20,A SICK DAY FOR AMOS McGEE
2014-07-05,Advice How-To and Miscellaneous,4,"All Is Forgotten, Nothing Is Lost: A Novel"
2014-07-05,Mass Market Paperback,20,A VISION IN VELVET
2014-07-12,Hardcover Graphic Books,4,INK EXCHANGE
2014-07-19,Combined Print and E-Book Nonfiction,18,IT DOESN'T TAKE A HERO
2014-07-19,Trade Fiction Paperback,23,A DOG NAMED CHRISTMAS
2014-07-19,Hardcover Fiction,4,CUT AND THRUST
2014-07-19,Combined Print and E-Book Nonfiction,9,Hard Knocker's Luck
2014-07-26,Paperback Nonfiction,14,BEHIND THE BEAUTIFUL FOREVERS
2014-08-02,Manga,3,"BLOOD LAD, VOL. 5"
2014-08-09,E-Book Nonfiction,19,King of Cuba: A Novel
2014-08-09,Hardcover Nonfiction,21,Beethoven: The Music and the Life
2014-08-09,E-Book Nonfiction,14,BRIGHT'S PASSAGE
2014-08-16,Young Adult,8,Islam: A Short History (Modern Library Chronicles)
2014-08-16,Hardcover Fiction,22,Acts of Faith
2014-08-16,Hardcover Fiction,25,Anarchy and Elegance: Confessions of a Journalist at Yale Law School
2014-08-16,Combined Print and E-Book Nonfiction,19,BY MYSELF AND THEN SOME
2014-08-23,Mass Market Paperback,14,HOW THE SCOUNDREL SEDUCES
2014-08-23,E-Book Nonfiction,15,Jesus Boy
2014-08-30,Animals,15,A Woman's Story
2014-08-30,Religion Spirituality and Faith,13,My Racing Heart: The Passionate World of Thoroughbreds and the Track
2014-08-30,Sports,18,Ancient Light
2014-08-30,Animals,2,A Friend of the Earth
2014-08-30,Sports,17,ELEVEN RINGS
2014-09-06,Picture Books,7,OTIS AND THE SCARECROW
2014-09-06,Paperback Graphic Books,2,"FABLES, VOL. 20"
2014-09-20,Series Books,4,MICHELLE OBAMA: AN AMERICAN STORY
2014-09-20,Mass Market Paperback,17,Fall On Your Knees (Oprah's Book Club)
2014-09-20,Advice How-To and Miscellaneous,16,FLEECED
2014-09-27,Science,2,In the Next Galaxy
2014-09-27,Hardcover Nonfiction,18,Officer Friendly: and Other Stories
2014-09-27,Humor,15,Anil's Ghost: A Novel
2014-09-27,Crime and Punishment,15,Blood and Water: Sabotaging Hitler's Bomb
2014-09-27,Culture,3,CAPTAIN AMERICA: THE MAN WITH NO FACE
2014-09-27,E-Book Fiction,8,Darkness Sticks to Everything: Collected and New Poems
2014-09-27,Fashion Manners and Customs,15,Direct Action: Radical Pacifism from the Union Eight to the Chicago Seven
2014-09-27,Combined Print and E-Book Nonfiction,16,A PATH APPEARS
2014-09-27,Religion Spirituality and Faith,8,HEDY'S FOLLY
2014-10-04,Hardcover Fiction,14,"A Sudden, Fearful Death"
2014-10-11,Manga,10,Manhattan country doctor
2014-10-11,Series Books,6,Confessions of a Cineplex Heckler: Celluloid Tirades and Escapades
2014-10-11,Combined Print and E-Book Nonfiction,17,Danger and Beauty
2014-10-11,E-Book Fiction,17,Eclipse: A Novel
2014-10-18,E-Book Fiction,7,I Married Vietnam: A Novel
2014-10-18,Picture Books,3,One Blood: The Death and Resurrection of Charles R. Drew
2014-10-18,E-Book Fiction,13,One Last Look
2014-10-18,E-Book Fiction,4,BURN
2014-10-25,Education,15,"1,339 QUITE INTERESTING FACTS TO MAKE YOUR JAW DROP"
2014-10-25,Fashion Manners and Customs,13,Madhouse: A Tragic Tale of Megalomania and Modern Medicine
2014-10-25,Sports,20,Not for Specialists: New and Selected Poems (American Poets Continuum)
2014-10-25,Food and Fitness,19,American Architecture Now 2 (Bk. 2)
2014-10-25,Fashion Manners and Customs,5,AT HOME WITH MADAME CHIC
2014-10-25,Hardcover Fiction,5,BEAUTY AWAKENED
2014-10-25,Crime and Punishment,12,BREAKING NEWS
2014-10-25,Humor,13,Evening Performance
2014-10-25,Fashion Manners and Customs,10,Fifth Quarter: The Scrimmage of a Football Coach's Daughter
2014-10-25,E-Book Fiction,18,HER PURRFECT MATCH
2014-11-01,Manga,7,Alienated Affections: Being Gay in America
2014-11-01,Combined Print and E-Book Fiction,17,ARCHANGEL'S SHADOWS
2014-11-01,E-Book Nonfiction,9,CHASING HARRY WINSTON
2014-11-01,E-Book Nonfiction,8,DREAMERS AND DECEIVERS
2014-11-08,Mass Market Paperback,9,A HIGHER CALL
2014-11-08,E-Book Nonfiction,18,"Duel: Alexander Hamilton, Aaron Burr, And The Future Of America"
2014-11-08,E-Book Fiction,16,His Way: The Unauthorized Biography of Frank Sinatra
2014-11-15,Combined Print and E-Book Fiction,12,KISS OF SNOW
2014-11-15,Hardcover Fiction,5,Blue Latitudes: Boldly Going Where Captain Cook Has Gone Before
2014-11-22,E-Book Nonfiction,16,LUCREZIA BORGIA
2014-11-22,Combined Print and E-Book Nonfiction,17,No Joke: Making Jewish Humor (Library of Jewish Ideas)
2014-11-22,Hardcover Graphic Books,2,ORIGINAL SIN
2014-11-29,Business Books,8,How I Accidentally Joined the Vast Right-Wing Conspiracy: (and Found Inner Peace)
2014-11-29,Childrens Middle Grade,12,Lessons
2014-11-29,E-Book Fiction,16,Betraying Spinoza: The Renegade Jew Who Gave Us Modernity (Jewish Encounters)
2014-11-29,Expeditions Disasters and Adventures,13,DEAD UNTIL DARK
2014-11-29,Sports,8,Foxprints
2014-11-29,Expeditions Disasters and Adventures,14,Fugitive Nights
2014-11-29,Espionage,14,"Good Morning, Mr. Zip Zip Zip: Movies, Memory and World War II"
2014-12-06,Hardcover Nonfiction,18,FOOD
2014-12-06,Childrens Middle Grade,15,Greetings from the Lincoln Bedroom
2014-12-13,E-Book Nonfiction,20,FLINTLOCK
2014-12-27,Paperback Nonfiction,9,"America in Black and White: One Nation, Indivisible"
2014-12-27,Mass Market Paperback,10,A Dangerous Friend
2014-12-27,Animals,15,"DOGS, VOL. 4"
2014-12-27,Childrens Middle Grade,15,FORTYTUDE
2015-01-03,Trade Fiction Paperback,17,AFTER WE FELL
2015-01-10,E-Book Fiction,20,ACHERON
2015-01-10,Combined Print and E-Book Nonfiction,17,Altmann's Tongue
2015-01-10,Hardcover Fiction,3,AS CHIMNEY SWEEPERS COME TO DUST
2015-01-10,Mass Market Paperback,19,DRAGONFLY IN AMBER
2015-01-17,Combined Print and E-Book Fiction,12,CORPS SECURITY: THE SERIES
2015-01-24,Young Adult,15,All for Love (Nation Books)
2015-01-31,Animals,3,I COULD PEE ON THIS
2015-01-31,Crime and Punishment,11,KITTY GENOVESE
2015-01-31,Combined Print and E-Book Nonfiction,14,Memories That Smell Like Gasoline
2015-01-31,Crime and Punishment,5,Cheating at Canasta
2015-01-31,Food and Fitness,9,GRANDPA GREEN
2015-02-07,Combined Print and E-Book Nonfiction,9,LONG DRIVE HOME
2015-02-07,Advice How-To and Miscellaneous,18,BOLD
2015-02-07,Mass Market Paperback,7,Closer to the Sun
2015-02-07,Hardcover Nonfiction,13,God's Grace
2015-02-07,E-Book Nonfiction,13,Homesickness: A Novel
2015-02-14,Hardcover Fiction,7,"Motown: Music, Money, Sex, and Power"
2015-02-14,E-Book Fiction,3,Obsessive Genius: The Inner World of Marie Curie (Great Discoveries)
2015-02-21,E-Book Nonfiction,18,"John Von Neumann: The Scientific Genius Who Pioneered the Modern Computer, Game Theory, Nuclear Deterrence, and Much Mor"
