Word,Rank,Frequency,Pr(%),r*Pr
high,150,489,0.1%,0.109488
should,151,483,0.1%,0.108866
need,152,481,0.1%,0.109133
next,153,476,0.1%,0.108709
three,154,475,0.1%,0.109190
under,155,470,0.1%,0.108742
off,156,470,0.1%,0.109443
well,157,469,0.1%,0.109910
back,158,468,0.1%,0.110375
group,159,467,0.1%,0.110836
technology,160,461,0.1%,0.110100
before,161,461,0.1%,0.110788
western,162,452,0.1%,0.109300
made,163,447,0.1%,0.108758
week,164,446,0.1%,0.109181
see,165,440,0.1%,0.108369
food,166,435,0.1%,0.107786
even,167,435,0.1%,0.108436
human,168,435,0.1%,0.109085
still,169,433,0.1%,0.109230
wales,170,426,0.1%,0.108100
grain,171,426,0.1%,0.108736
good,172,422,0.1%,0.108345
north,173,415,0.1%,0.107167
wool,174,414,0.1%,0.107527
mr,175,411,0.1%,0.107361
journal,176,406,0.1%,0.106661
don,177,405,0.1%,0.107003
cattle,178,403,0.1%,0.107076
change,179,402,0.1%,0.107410
another,180,394,0.1%,0.105861
different,181,386,0.1%,0.104288
rural,182,384,0.1%,0.104320
cells,183,382,0.1%,0.104347
price,184,380,0.1%,0.104368
farm,185,368,0.1%,0.101622
number,186,365,0.1%,0.101338
disease,187,364,0.1%,0.101604
space,188,362,0.1%,0.101586
really,189,360,0.1%,0.101562
using,190,359,0.1%,0.101816
take,191,357,0.1%,0.101781
whether,192,356,0.1%,0.102028
earth,193,356,0.1%,0.102559
big,194,356,0.1%,0.103090
better,195,354,0.1%,0.103040
future,196,350,0.1%,0.102398
ago,197,349,0.1%,0.102626
agriculture,198,348,0.1%,0.102852
during,199,346,0.1%,0.102777
fruit,200,345,0.1%,0.102995
same,201,344,0.1%,0.103210
across,202,344,0.1%,0.103723
small,203,343,0.1%,0.103934
areas,204,341,0.1%,0.103837
major,205,340,0.1%,0.104040
science,206,338,0.1%,0.103932
got,207,338,0.1%,0.104437
minister,208,337,0.1%,0.104631
far,209,337,0.1%,0.105134
international,210,336,0.1%,0.105323
evidence,211,336,0.1%,0.105825
might,212,335,0.1%,0.106010
part,213,334,0.0%,0.106192
light,214,334,0.0%,0.106691
health,215,333,0.0%,0.106868
day,216,333,0.0%,0.107365
including,217,332,0.0%,0.107539
species,218,331,0.0%,0.107709
based,219,330,0.0%,0.107876
less,220,330,0.0%,0.108369
northern,221,330,0.0%,0.108861
trade,222,329,0.0%,0.109022
lot,223,328,0.0%,0.109181
association,224,325,0.0%,0.108667
changes,225,324,0.0%,0.108816
probably,226,321,0.0%,0.108288
humans,227,318,0.0%,0.107751
called,228,318,0.0%,0.108225
issue,229,316,0.0%,0.108016
looking,230,316,0.0%,0.108488
look,231,315,0.0%,0.108615
brain,232,313,0.0%,0.108392
life,233,311,0.0%,0.108164
known,234,311,0.0%,0.108628
show,235,310,0.0%,0.108742
come,236,309,0.0%,0.108852
risk,237,308,0.0%,0.108960
set,238,307,0.0%,0.109064
since,239,306,0.0%,0.109166
able,240,306,0.0%,0.109622
find,241,306,0.0%,0.110079
months,242,305,0.0%,0.110175
sheep,243,305,0.0%,0.110630
know,244,304,0.0%,0.110721
energy,245,303,0.0%,0.110809
animals,246,301,0.0%,0.110527
beef,247,301,0.0%,0.110976
country,248,300,0.0%,0.111055
low,249,300,0.0%,0.111503
each,250,299,0.0%,0.111578
body,251,299,0.0%,0.112024
go,252,296,0.0%,0.111342
levels,253,296,0.0%,0.111784
information,254,295,0.0%,0.111847
production,255,293,0.0%,0.111526
put,256,292,0.0%,0.111581
conditions,257,291,0.0%,0.111633
crops,258,289,0.0%,0.111297
expected,259,288,0.0%,0.111342
season,260,287,0.0%,0.111384
according,261,287,0.0%,0.111812
findings,262,287,0.0%,0.112241
increase,263,287,0.0%,0.112669
export,264,287,0.0%,0.113097
oil,265,284,0.0%,0.112339
climate,266,283,0.0%,0.112366
already,267,279,0.0%,0.111194
women,268,278,0.0%,0.111211
past,269,277,0.0%,0.111224
seen,270,275,0.0%,0.110831
animal,271,274,0.0%,0.110837
peter,272,274,0.0%,0.111246
large,273,270,0.0%,0.110025
impact,274,270,0.0%,0.110428
too,275,269,0.0%,0.110421
crop,276,269,0.0%,0.110823
both,277,268,0.0%,0.110811
does,278,268,0.0%,0.111211
early,279,267,0.0%,0.111194
right,280,266,0.0%,0.111175
due,281,265,0.0%,0.111152
land,282,265,0.0%,0.111548
victoria,283,264,0.0%,0.111521
five,284,261,0.0%,0.110643
four,285,260,0.0%,0.110608
enough,286,260,0.0%,0.110996
likely,287,259,0.0%,0.110955
current,288,259,0.0%,0.111342
west,289,258,0.0%,0.111297
did,290,258,0.0%,0.111682
her,291,255,0.0%,0.110764
want,292,253,0.0%,0.110273
fuel,293,252,0.0%,0.110214
livestock,294,251,0.0%,0.110151
development,295,251,0.0%,0.110525
higher,296,251,0.0%,0.110900
dairy,297,250,0.0%,0.110831
times,298,249,0.0%,0.110760
river,299,249,0.0%,0.111132
suggests,300,249,0.0%,0.111503
support,301,248,0.0%,0.111426
shows,302,247,0.0%,0.111345
region,303,247,0.0%,0.111714
area,304,247,0.0%,0.112082
important,305,246,0.0%,0.111996
end,306,246,0.0%,0.112363
single,307,245,0.0%,0.112272
public,308,245,0.0%,0.112638
east,309,244,0.0%,0.112542
little,310,244,0.0%,0.112906
your,311,244,0.0%,0.113271
produce,312,243,0.0%,0.113169
producers,313,241,0.0%,0.112597
month,314,239,0.0%,0.112020
plant,315,239,0.0%,0.112376
near,316,239,0.0%,0.112733
rain,317,239,0.0%,0.113090
working,318,239,0.0%,0.113447
project,319,238,0.0%,0.113327
states,320,235,0.0%,0.112250
head,321,235,0.0%,0.112600
within,322,234,0.0%,0.112470
few,323,234,0.0%,0.112820
kilometres,324,234,0.0%,0.113169
virus,325,233,0.0%,0.113033
process,326,232,0.0%,0.112894
until,327,232,0.0%,0.113241
local,328,232,0.0%,0.113587
actually,329,232,0.0%,0.113933
colleagues,330,231,0.0%,0.113787
own,331,231,0.0%,0.114132
making,332,231,0.0%,0.114477
record,333,230,0.0%,0.114324
published,334,230,0.0%,0.114668
southern,335,230,0.0%,0.115011
power,336,230,0.0%,0.115354
inquiry,337,230,0.0%,0.115698
wine,338,229,0.0%,0.115536
cost,339,229,0.0%,0.115878
results,340,228,0.0%,0.115713
global,341,226,0.0%,0.115035
old,342,226,0.0%,0.115372
council,343,224,0.0%,0.114686
tonnes,344,224,0.0%,0.115020
against,345,223,0.0%,0.114839
exports,346,223,0.0%,0.115172
companies,347,222,0.0%,0.114987
things,348,222,0.0%,0.115318
thought,349,221,0.0%,0.115129
meat,350,218,0.0%,0.113891
believe,351,218,0.0%,0.114217
case,352,217,0.0%,0.114017
without,353,217,0.0%,0.114341
cancer,354,217,0.0%,0.114665
quite,355,217,0.0%,0.114989
planet,356,217,0.0%,0.115313
director,357,216,0.0%,0.115104
john,358,216,0.0%,0.115426
men,359,215,0.0%,0.115212
young,360,215,0.0%,0.115533
department,361,214,0.0%,0.115315
bit,362,214,0.0%,0.115635
dry,363,213,0.0%,0.115413
further,364,211,0.0%,0.114644
plan,365,210,0.0%,0.114414
why,366,210,0.0%,0.114727
growing,367,210,0.0%,0.115041
half,368,210,0.0%,0.115354
given,369,209,0.0%,0.115117
children,370,208,0.0%,0.114877
something,371,208,0.0%,0.115187
place,372,208,0.0%,0.115498
lead,373,205,0.0%,0.114138
six,374,205,0.0%,0.114444
data,375,205,0.0%,0.114750
decision,376,204,0.0%,0.114495
program,377,203,0.0%,0.114236
best,378,203,0.0%,0.114539
institute,379,202,0.0%,0.114277
effect,380,202,0.0%,0.114578
cut,381,201,0.0%,0.114311
air,382,201,0.0%,0.114611
murray,383,200,0.0%,0.114339
days,384,200,0.0%,0.114638
studies,385,200,0.0%,0.114936
centre,386,199,0.0%,0.114659
environment,387,198,0.0%,0.114378
give,388,198,0.0%,0.114674
genes,389,198,0.0%,0.114969
example,390,198,0.0%,0.115265
means,391,198,0.0%,0.115560
genetic,392,197,0.0%,0.115271
almost,393,197,0.0%,0.115565
biggest,394,196,0.0%,0.115271
ll,395,195,0.0%,0.114974
money,396,195,0.0%,0.115265
solar,397,195,0.0%,0.115556
control,398,194,0.0%,0.115253
sydney,399,194,0.0%,0.115542
fish,400,193,0.0%,0.115235
least,401,193,0.0%,0.115523
keep,402,193,0.0%,0.115811
recent,403,192,0.0%,0.115498
similar,404,192,0.0%,0.115784
although,405,192,0.0%,0.116071
despite,406,191,0.0%,0.115751
computer,407,191,0.0%,0.116036
age,408,191,0.0%,0.116322
away,409,191,0.0%,0.116607
here,410,191,0.0%,0.116892
deal,411,190,0.0%,0.116563
demand,412,190,0.0%,0.116847
form,413,189,0.0%,0.116514
community,414,189,0.0%,0.116796
stock,415,189,0.0%,0.117078
latest,416,189,0.0%,0.117360
test,417,189,0.0%,0.117643
possible,418,188,0.0%,0.117301
concerns,419,188,0.0%,0.117581
become,420,187,0.0%,0.117235
rather,421,187,0.0%,0.117514
central,422,186,0.0%,0.117163
billion,423,186,0.0%,0.117441
groups,424,185,0.0%,0.117086
problems,425,185,0.0%,0.117362
yet,426,185,0.0%,0.117638
gas,427,184,0.0%,0.117277
territory,428,184,0.0%,0.117552
average,429,184,0.0%,0.117826
once,430,183,0.0%,0.117459
having,431,183,0.0%,0.117732
sea,432,183,0.0%,0.118005
needs,433,182,0.0%,0.117632
provide,434,182,0.0%,0.117904
increased,435,181,0.0%,0.117526
workers,436,181,0.0%,0.117796
level,437,181,0.0%,0.118067
taken,438,180,0.0%,0.117683
costs,439,180,0.0%,0.117952
sector,440,179,0.0%,0.117563
told,441,179,0.0%,0.117831
damage,442,179,0.0%,0.118098
live,443,178,0.0%,0.117704
weather,444,178,0.0%,0.117969
zealand,445,178,0.0%,0.118235
left,446,178,0.0%,0.118501
getting,447,177,0.0%,0.118099
great,448,177,0.0%,0.118364
natural,449,176,0.0%,0.117958
nature,450,176,0.0%,0.118220
problem,451,176,0.0%,0.118483
environmental,452,176,0.0%,0.118746
move,453,176,0.0%,0.119008
dna,454,175,0.0%,0.118593
term,455,175,0.0%,0.118855
among,456,174,0.0%,0.118435
tasmania,457,174,0.0%,0.118695
surface,458,174,0.0%,0.118955
chief,459,173,0.0%,0.118529
discovered,460,173,0.0%,0.118787
cell,461,172,0.0%,0.118358
pressure,462,171,0.0%,0.117925
earlier,463,171,0.0%,0.118180
result,464,171,0.0%,0.118435
start,465,171,0.0%,0.118690
business,466,170,0.0%,0.118250
rise,467,170,0.0%,0.118504
feed,468,170,0.0%,0.118758
researcher,469,169,0.0%,0.118311
often,470,168,0.0%,0.117862
size,471,168,0.0%,0.118113
cause,472,167,0.0%,0.117659
conference,473,167,0.0%,0.117908
gene,474,167,0.0%,0.118158
general,475,167,0.0%,0.118407
medical,476,166,0.0%,0.117946
weeks,477,166,0.0%,0.118193
access,478,166,0.0%,0.118441
cyclone,479,166,0.0%,0.118689
sun,480,166,0.0%,0.118937
co,481,166,0.0%,0.119185
top,482,166,0.0%,0.119432
caused,483,165,0.0%,0.118959
parts,484,165,0.0%,0.119205
every,485,165,0.0%,0.119452
certainly,486,165,0.0%,0.119698
pay,487,165,0.0%,0.119944
d,488,165,0.0%,0.120191
lower,489,164,0.0%,0.119707
needed,490,164,0.0%,0.119952
japan,491,163,0.0%,0.119464
hit,492,163,0.0%,0.119707
thing,493,162,0.0%,0.119214
plants,494,162,0.0%,0.119456
potential,495,162,0.0%,0.119698
others,496,161,0.0%,0.119199
harvest,497,161,0.0%,0.119440
farmer,498,160,0.0%,0.118937
countries,499,160,0.0%,0.119176
island,500,160,0.0%,0.119414
ocean,501,159,0.0%,0.118905
coming,502,159,0.0%,0.119143
supply,503,159,0.0%,0.119380
strong,504,159,0.0%,0.119617
must,505,158,0.0%,0.119101
continue,506,158,0.0%,0.119337
wa,507,157,0.0%,0.118816
president,508,156,0.0%,0.118292
trying,509,155,0.0%,0.117765
range,510,154,0.0%,0.117235
code,511,154,0.0%,0.117465
station,512,154,0.0%,0.117695
doesn,513,154,0.0%,0.117925
star,514,154,0.0%,0.118155
try,515,154,0.0%,0.118384
grains,516,153,0.0%,0.117844
paper,517,153,0.0%,0.118072
amount,518,153,0.0%,0.118301
particularly,519,153,0.0%,0.118529
done,520,153,0.0%,0.118758
plans,521,153,0.0%,0.118986
developed,522,153,0.0%,0.119214
stem,523,152,0.0%,0.118662
several,524,152,0.0%,0.118889
meeting,525,152,0.0%,0.119116
significant,526,151,0.0%,0.118558
china,527,151,0.0%,0.118783
hard,528,151,0.0%,0.119008
mining,529,151,0.0%,0.119234
numbers,530,151,0.0%,0.119459
together,531,151,0.0%,0.119685
markets,532,151,0.0%,0.119910
experts,533,150,0.0%,0.119340
available,534,150,0.0%,0.119564
desk,535,150,0.0%,0.119788
resources,536,149,0.0%,0.119211
victorian,537,149,0.0%,0.119434
male,538,149,0.0%,0.119656
blood,539,149,0.0%,0.119879
fishing,540,149,0.0%,0.120101
rate,541,148,0.0%,0.119516
chairman,542,148,0.0%,0.119737
wants,543,148,0.0%,0.119958
involved,544,147,0.0%,0.119367
eastern,545,147,0.0%,0.119586
allow,546,147,0.0%,0.119805
ice,547,147,0.0%,0.120025
nuclear,548,147,0.0%,0.120244
open,549,146,0.0%,0.119644
point,550,145,0.0%,0.119041
stars,551,145,0.0%,0.119258
reduce,552,145,0.0%,0.119474
patients,553,145,0.0%,0.119691
melbourne,554,145,0.0%,0.119907
discovery,555,145,0.0%,0.120123
run,556,144,0.0%,0.119510
meanwhile,557,144,0.0%,0.119725
common,558,144,0.0%,0.119940
cole,559,144,0.0%,0.120155
largest,560,144,0.0%,0.120370
finding,561,143,0.0%,0.119747
second,562,143,0.0%,0.119961
currently,563,143,0.0%,0.120174
free,564,143,0.0%,0.120388
scientist,565,143,0.0%,0.120601
industries,566,143,0.0%,0.120815
david,567,143,0.0%,0.121028
regional,568,142,0.0%,0.120394
coast,569,142,0.0%,0.120606
effects,570,142,0.0%,0.120818
sales,571,142,0.0%,0.121029
along,572,142,0.0%,0.121241
particular,573,141,0.0%,0.120598
led,574,141,0.0%,0.120809
birds,575,141,0.0%,0.121019
mean,576,141,0.0%,0.121229
normal,577,141,0.0%,0.121440
gold,578,140,0.0%,0.120788
online,579,140,0.0%,0.120997
agricultural,580,140,0.0%,0.121206
safety,581,140,0.0%,0.121415
quality,582,139,0.0%,0.120755
response,583,139,0.0%,0.120962
uk,584,139,0.0%,0.121170
longer,585,139,0.0%,0.121377
fire,586,139,0.0%,0.121585
ground,587,138,0.0%,0.120916
whole,588,138,0.0%,0.121122
survey,589,138,0.0%,0.121328
executive,590,138,0.0%,0.121534
short,591,138,0.0%,0.121740
close,592,138,0.0%,0.121946
nasa,593,137,0.0%,0.121267
face,594,137,0.0%,0.121471
reported,595,137,0.0%,0.121676
field,596,137,0.0%,0.121880
communities,597,136,0.0%,0.121194
author,598,136,0.0%,0.121397
affected,599,136,0.0%,0.121600
fact,600,136,0.0%,0.121803
products,601,136,0.0%,0.122006
family,602,136,0.0%,0.122209
line,603,136,0.0%,0.122412
funding,604,135,0.0%,0.121713
theory,605,135,0.0%,0.121915
product,606,135,0.0%,0.122116
type,607,135,0.0%,0.122318
suggest,608,135,0.0%,0.122519
stop,609,134,0.0%,0.121812
later,610,134,0.0%,0.122012
smaller,611,134,0.0%,0.122212
irrigators,612,134,0.0%,0.122412
temperatures,613,134,0.0%,0.122612
ever,614,134,0.0%,0.122812
real,615,134,0.0%,0.123012
compared,616,134,0.0%,0.123212
management,617,134,0.0%,0.123412
manager,618,133,0.0%,0.122689
former,619,133,0.0%,0.122888
drug,620,132,0.0%,0.122161
systems,621,131,0.0%,0.121431
europe,622,131,0.0%,0.121627
key,623,131,0.0%,0.121822
develop,624,131,0.0%,0.122018
sort,625,130,0.0%,0.121280
comes,626,130,0.0%,0.121474
social,627,130,0.0%,0.121668
competition,628,130,0.0%,0.121862
improve,629,130,0.0%,0.122056
yesterday,630,129,0.0%,0.121310
lack,631,129,0.0%,0.121503
mars,632,129,0.0%,0.121695
sale,633,129,0.0%,0.121888
issues,634,129,0.0%,0.122080
released,635,128,0.0%,0.121325
difficult,636,128,0.0%,0.121516
behaviour,637,128,0.0%,0.121707
makes,638,128,0.0%,0.121898
bacteria,639,128,0.0%,0.122089
period,640,128,0.0%,0.122280
asked,641,128,0.0%,0.122471
modern,642,128,0.0%,0.122662
sugar,643,127,0.0%,0.121894
chemical,644,127,0.0%,0.122083
concerned,645,126,0.0%,0.121310
produced,646,126,0.0%,0.121498
remains,647,126,0.0%,0.121686
never,648,126,0.0%,0.121874
board,649,126,0.0%,0.122062
federation,650,126,0.0%,0.122250
red,651,126,0.0%,0.122439
gm,652,126,0.0%,0.122627
telescope,653,126,0.0%,0.122815
properties,654,126,0.0%,0.123003
took,655,126,0.0%,0.123191
thousands,656,126,0.0%,0.123379
population,657,126,0.0%,0.123567
tax,658,125,0.0%,0.122773
drop,659,125,0.0%,0.122960
doing,660,125,0.0%,0.123146
hand,661,125,0.0%,0.123333
living,662,125,0.0%,0.123519
idea,663,125,0.0%,0.123706
m,664,124,0.0%,0.122901
history,665,124,0.0%,0.123086
review,666,124,0.0%,0.123271
european,667,124,0.0%,0.123457
images,668,124,0.0%,0.123642
remote,669,124,0.0%,0.123827
court,670,124,0.0%,0.124012
buy,671,124,0.0%,0.124197
call,672,124,0.0%,0.124382
scheme,673,123,0.0%,0.123563
lost,674,123,0.0%,0.123746
farms,675,123,0.0%,0.123930
my,676,123,0.0%,0.124113
services,677,123,0.0%,0.124297
hopes,678,122,0.0%,0.123469
developing,679,122,0.0%,0.123651
united,680,122,0.0%,0.123833
clear,681,122,0.0%,0.124015
planets,682,122,0.0%,0.124197
activity,683,122,0.0%,0.124379
taking,684,121,0.0%,0.123540
moment,685,121,0.0%,0.123721
person,686,121,0.0%,0.123901
carbon,687,121,0.0%,0.124082
spokesman,688,121,0.0%,0.124263
material,689,121,0.0%,0.124443
matter,690,121,0.0%,0.124624
huge,691,121,0.0%,0.124804
tests,692,120,0.0%,0.123952
full,693,120,0.0%,0.124131
themselves,694,120,0.0%,0.124310
related,695,120,0.0%,0.124490
rainfall,696,119,0.0%,0.123630
news,697,119,0.0%,0.123807
previous,698,119,0.0%,0.123985
scientific,699,119,0.0%,0.124163
school,700,119,0.0%,0.124340
mark,701,119,0.0%,0.124518
grower,702,118,0.0%,0.123648
interest,703,118,0.0%,0.123824
mine,704,118,0.0%,0.124000
governments,705,118,0.0%,0.124176
event,706,117,0.0%,0.123298
dust,707,117,0.0%,0.123473
affect,708,117,0.0%,0.123648
main,709,117,0.0%,0.123822
internet,710,116,0.0%,0.122937
always,711,116,0.0%,0.123110
astronomers,712,116,0.0%,0.123283
female,713,116,0.0%,0.123457
certain,714,116,0.0%,0.123630
side,715,116,0.0%,0.123803
came,716,115,0.0%,0.122907
sure,717,115,0.0%,0.123079
nearly,718,115,0.0%,0.123251
city,719,115,0.0%,0.123422
cents,720,115,0.0%,0.123594
committee,721,115,0.0%,0.123766
announced,722,115,0.0%,0.123937
ability,723,115,0.0%,0.124109
act,724,114,0.0%,0.123200
bill,725,114,0.0%,0.123370
service,726,114,0.0%,0.123540
terms,727,114,0.0%,0.123710
black,728,113,0.0%,0.122794
designed,729,113,0.0%,0.122962
expert,730,113,0.0%,0.123131
believes,731,113,0.0%,0.123300
hope,732,113,0.0%,0.123469
bird,733,113,0.0%,0.123637
society,734,113,0.0%,0.123806
saying,735,113,0.0%,0.123975
atmosphere,736,112,0.0%,0.123045
again,737,112,0.0%,0.123212
cannot,738,112,0.0%,0.123379
financial,739,112,0.0%,0.123546
sell,740,112,0.0%,0.123713
growth,741,112,0.0%,0.123880
claims,742,112,0.0%,0.124048
heat,743,112,0.0%,0.124215
trees,744,112,0.0%,0.124382
recently,745,112,0.0%,0.124549
force,746,111,0.0%,0.123603
members,747,111,0.0%,0.123769
anything,748,111,0.0%,0.123934
won,749,111,0.0%,0.124100
valley,750,111,0.0%,0.124266
above,751,111,0.0%,0.124431
ethanol,752,110,0.0%,0.123474
cane,753,110,0.0%,0.123639
winter,754,110,0.0%,0.123803
ian,755,110,0.0%,0.123967
analysis,756,110,0.0%,0.124131
loss,757,109,0.0%,0.123165
include,758,109,0.0%,0.123328
site,759,109,0.0%,0.123491
third,760,109,0.0%,0.123654
prime,761,109,0.0%,0.123816
present,762,109,0.0%,0.123979
commercial,763,108,0.0%,0.123003
understand,764,108,0.0%,0.123164
rates,765,108,0.0%,0.123325
regions,766,108,0.0%,0.123486
chance,767,107,0.0%,0.122503
marine,768,107,0.0%,0.122662
marketing,769,107,0.0%,0.122822
previously,770,107,0.0%,0.122982
iraq,771,107,0.0%,0.123142
tasmanian,772,107,0.0%,0.123301
primary,773,106,0.0%,0.122307
ways,774,106,0.0%,0.122465
treatment,775,106,0.0%,0.122624
role,776,106,0.0%,0.122782
adds,777,106,0.0%,0.122940
hours,778,106,0.0%,0.123098
bureau,779,105,0.0%,0.122094
late,780,105,0.0%,0.122250
doctors,781,105,0.0%,0.122407
laws,782,105,0.0%,0.122564
benefits,783,105,0.0%,0.122721
action,784,105,0.0%,0.122877
moon,785,104,0.0%,0.121862
offer,786,104,0.0%,0.122018
non,787,104,0.0%,0.122173
associated,788,104,0.0%,0.122328
agreement,789,103,0.0%,0.121306
complex,790,103,0.0%,0.121459
home,791,103,0.0%,0.121613
shown,792,103,0.0%,0.121767
reports,793,103,0.0%,0.121921
trading,794,103,0.0%,0.122074
grape,795,102,0.0%,0.121041
native,796,102,0.0%,0.121194
itself,797,102,0.0%,0.121346
grow,798,102,0.0%,0.121498
town,799,102,0.0%,0.121650
turn,800,102,0.0%,0.121803
source,801,102,0.0%,0.121955
instead,802,102,0.0%,0.122107
sold,803,102,0.0%,0.122259
received,804,101,0.0%,0.121212
associate,805,101,0.0%,0.121362
proposed,806,101,0.0%,0.121513
meet,807,101,0.0%,0.121664
mcgauran,808,101,0.0%,0.121815
value,809,101,0.0%,0.121965
spread,810,100,0.0%,0.120907
deep,811,100,0.0%,0.121056
tiny,812,100,0.0%,0.121206
transport,813,100,0.0%,0.121355
death,814,100,0.0%,0.121504
total,815,100,0.0%,0.121653
radio,816,100,0.0%,0.121803
imports,817,100,0.0%,0.121952
road,818,100,0.0%,0.122101
csiro,819,100,0.0%,0.122250
green,820,100,0.0%,0.122400
though,821,100,0.0%,0.122549
fall,822,100,0.0%,0.122698
metres,823,100,0.0%,0.122848
dollars,824,99,0.0%,0.121767
push,825,99,0.0%,0.121915
o,826,99,0.0%,0.122062
seven,827,99,0.0%,0.122210
however,828,99,0.0%,0.122358
protect,829,99,0.0%,0.122506
middle,830,98,0.0%,0.121415
females,831,98,0.0%,0.121561
positive,832,98,0.0%,0.121707
member,833,98,0.0%,0.121853
pluto,834,98,0.0%,0.122000
